チーム名,リーグ,シュート総数,ファウル総数,警告数,クロス総数
セレッソ大阪,J1,542,349,43,522
サンフレッチェ広島,J1,542,415,36,721
ガンバ大阪,J1,501,402,41,497
ヴィッセル神戸,J1,499,344,32,735
川崎フロンターレ,J1,494,367,50,479
アビスパ福岡,J1,492,484,55,498
柏レイソル,J1,477,383,45,536
清水エスパルス,J1,474,379,48,543
浦和レッズ,J1,464,346,36,508
ＦＣ東京,J1,461,443,54,469
ＦＣ町田ゼルビア,J1,453,473,51,595
鹿島アントラーズ,J1,449,411,52,497
名古屋グランパス,J1,445,383,47,503
京都サンガF.C.,J1,442,539,63,533
アルビレックス新潟,J1,433,376,40,468
ファジアーノ岡山,J1,426,433,42,593
湘南ベルマーレ,J1,413,449,45,537
横浜Ｆ・マリノス,J1,406,448,70,471
東京ヴェルディ,J1,374,499,51,468
横浜ＦＣ,J1,362,410,50,505
ＦＣ今治,J2,565,443,56,551
Ｖ・ファーレン長崎,J2,560,342,47,586
ＲＢ大宮アルディージャ,J2,550,465,55,603
いわきＦＣ,J2,540,501,45,626
ベガルタ仙台,J2,527,419,50,559
ジェフユナイテッド千葉,J2,521,383,50,588
北海道コンサドーレ札幌,J2,496,401,59,525
徳島ヴォルティス,J2,492,527,76,448
ジュビロ磐田,J2,486,407,51,675
藤枝ＭＹＦＣ,J2,484,467,60,575
レノファ山口ＦＣ,J2,484,389,39,609
ロアッソ熊本,J2,484,384,39,572
水戸ホーリーホック,J2,473,423,40,494
サガン鳥栖,J2,464,323,41,539
モンテディオ山形,J2,451,401,57,536
カターレ富山,J2,449,377,36,584
ヴァンフォーレ甲府,J2,429,353,39,444
ブラウブリッツ秋田,J2,419,426,60,549
愛媛ＦＣ,J2,408,407,40,525
大分トリニータ,J2,361,417,47,527
鹿児島ユナイテッドＦＣ,J3,634,410,41,632
栃木シティ,J3,626,498,50,793
ツエーゲン金沢,J3,545,386,52,738
高知ユナイテッドＳＣ,J3,512,423,38,684
栃木ＳＣ,J3,508,411,50,599
ＦＣ大阪,J3,504,518,47,686
福島ユナイテッドＦＣ,J3,503,392,31,381
ヴァンラーレ八戸,J3,502,445,36,621
ＦＣ岐阜,J3,492,439,54,706
ザスパ群馬,J3,476,365,46,707
カマタマーレ讃岐,J3,461,389,45,511
アスルクラロ沼津,J3,457,444,59,462
ギラヴァンツ北九州,J3,451,416,48,548
テゲバジャーロ宮崎,J3,448,426,54,659
奈良クラブ,J3,433,345,46,459
ＳＣ相模原,J3,426,453,62,623
ＦＣ琉球,J3,414,395,58,464
ＡＣ長野パルセイロ,J3,402,351,38,493
松本山雅ＦＣ,J3,396,415,48,510
ガイナーレ鳥取,J3,364,410,51,412
